id,street_address,latitude,longitude
BP-03501,8 Kensington Ave,43.653057756,-79.400127413
BP-15966,87 Avenue Rd,43.672000328,-79.395336177
BP-07766,162 Mc Caul St,43.655627766,-79.392067935
BP-15128,180 Elizabeth St,43.657373977,-79.386162758
BP-14932,2 Sussex Ave,43.665622335,-79.399135454
BP-11207,59 Spadina Rd,43.66948572,-79.40486406
BP-11369,563 Crawford St,43.659275863999994,-79.420396146
BP-05479,2 Sussex Ave,43.665580648,-79.399118601
BP-19324,1262 Bay St,43.670979628000005,-79.39012354399999
BP-19343,710 Spadina Ave,43.665121563999996,-79.403103188
BP-19344,710 Spadina Ave,43.665173808999995,-79.403124029
BP-19345,169 Harbord St,43.661922703,-79.40737806199999
BP-19346,169 Harbord St,43.661915598,-79.407402536
BP-19347,93 Harbord St,43.662691171999995,-79.403579361
BP-19348,410 College St,43.656838872,-79.406360208
BP-13552,258 Christie St,43.670857546,-79.421305252
BP-19589,41 Avenue Rd,43.670647272,-79.394814997
BP-19590,36 Avenue Rd,43.670198343,-79.39487069100001
BP-19591,36 Avenue Rd,43.670167276,-79.394858071
BP-19593,36 Avenue Rd,43.67010384899999,-79.39482957
BP-19594,NA Yonge St,43.670493582,-79.386772371
BP-19595,NA Yonge St,43.670502825,-79.38677717600001
BP-19596,NA Park Rd,43.67114140100001,-79.38426737
BP-19451,NA NA,43.658695878,-79.382093162
BP-19452,NA NA,43.658688473999995,-79.382127774
BP-19453,NA NA,43.658652697,-79.382297921
BP-19370,784 College St,43.654828601000006,-79.420914469
BP-19371,784 College St,43.654838233,-79.42086605899999
BP-19492,332 Harbord St,43.65964807100001,-79.419289894
BP-19494,623 Bathurst St,43.659959805,-79.409014824
BP-19495,489 College St,43.656049367,-79.409242601
BP-19496,489 College St,43.656035012,-79.409300907
BP-19498,747 College St,43.654902744,-79.419912312
BP-19499,747 College St,43.654904973,-79.419896118
BP-19500,747 College St,43.654907838,-79.419882748
BP-19525,862 Dundas St W,43.651420439,-79.410691095
BP-19526,858 Dundas St W,43.651426969,-79.41066586
BP-04949,382 Bathurst St,43.653498092,-79.40660285199999
BP-19700,149 Christie St,43.667284461,-79.419800735
BP-19701,149 Christie St,43.667370452,-79.41983398800001
BP-19702,238 Christie St,43.670116498,-79.421032504
BP-19703,238 Christie St,43.670185364,-79.421058792
BP-19705,18 Madison Ave,43.668026986,-79.403217407
BP-19707,316 Bloor St W,43.667176792,-79.402864545
BP-19708,238 Bloor St W,43.668199051,-79.396974415
BP-19709,238 Bloor St W,43.668224851000005,-79.39684808
BP-19710,238 Bloor St W,43.668230912,-79.396819758
BP-19363,438 Dundas St W,43.653487658,-79.39570165
BP-19431,420 Dupont St,43.673816981,-79.411993158
BP-19460,316 Bloor St W,43.666942434,-79.402881848
BP-19374,693 Bathurst St,43.663412195,-79.41040779800001
BP-19375,693 Bathurst St,43.66339439,-79.41040398
BP-19606,1000 Bay St,43.66511877399999,-79.387555027
BP-19608,832 Bay St,43.662133781,-79.386356476
BP-19609,832 Bay St,43.662048315,-79.38631494399999
BP-19610,832 Bay St,43.66200296,-79.386294823
BP-19625,595 Bay St,43.656404886000004,-79.383723107
BP-19626,595 Bay St,43.656413902,-79.383692568
BP-19627,595 Bay St,43.656420297,-79.383662676
BP-19628,595 Bay St,43.656427836000006,-79.38363324699999
BP-19685,864 Bathurst St,43.667122946999996,-79.412092735
BP-19686,864 Bathurst St,43.667149593999994,-79.41210048800001
BP-19689,689 Bloor St W,43.663809805,-79.416948217
BP-19690,699 Bloor St W,43.66370779,-79.417410566
BP-19691,699 Bloor St W,43.663696478999995,-79.417445987
BP-19699,953 Ossington Ave,43.667337928,-79.427790051
BP-17934,655 Bay St,43.658085807,-79.384456875
BP-19314,816 College St,43.654589276,-79.422034473
BP-19325,135 Yorkville Ave,43.670583316000005,-79.393673927
BP-08764,230 College St,43.658395986,-79.397925713
BP-08632,149 Baldwin St,43.654871867,-79.399946861
BP-13434,819 Bathurst St,43.666069353999994,-79.411338642
BP-12807,819 Bathurst St,43.66605967899999,-79.41133552
