_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7625651,2,BP-11699,70,The Pond Rd,,,Seneca Lane,,,7.0,,Rack,Existing,0,304813.343,4847867.805,-79.499834262,43.770770154,"{u'type': u'Point', u'coordinates': (-79.4998342614, 43.770770152)}"
7625652,7,BP-11900,8,Assiniboine Rd,,,Nelson Rd,,,7.0,,Rack,Existing,0,304460.91,4847578.496,-79.504211783,43.768165951,"{u'type': u'Point', u'coordinates': (-79.5042117859, 43.7681659541)}"
7625653,66,BP-03501,8,Kensington Ave,,,Kensington Ave,,,11.0,Kensington Market,Ring,Existing,0,312856.125,4834795.334,-79.400127413,43.653057756,"{u'type': u'Point', u'coordinates': (-79.4001274087, 43.6530577621)}"
7625654,108,BP-12883,21,Canniff St,,,Strachan Ave,,,10.0,,Ring,Existing,0,311940.672,4833504.8719999995,-79.411493409,43.641451208999996,"{u'type': u'Point', u'coordinates': (-79.4114934143, 43.6414512067)}"
7625655,171,BP-14805,359,King St E,,,Derby St,,,13.0,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315707.043,4834678.549,-79.364786738,43.65197019399999,"{u'type': u'Point', u'coordinates': (-79.3647867345, 43.6519702)}"
7625656,219,BP-12074,1960,Queen St E,,,Kenilworth Ave,,,19.0,The Beach,Ring,Existing,0,320761.99600000004,4836653.121,-79.302063031,43.669652596000006,"{u'type': u'Point', u'coordinates': (-79.3020630339, 43.6696525999)}"
7625657,244,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,,11.0,,Ring,Existing,0,313239.951,4836900.226,-79.395336177,43.672000328,"{u'type': u'Point', u'coordinates': (-79.3953361766, 43.6720003272)}"
7625658,275,BP-03939,50,Blue Jays Way,,,Mercer St,,,10.0,Toronto Entertainment District,Ring,Temporarily Removed,0,313503.184,4833936.254,-79.392119608,43.645317591,"{u'type': u'Point', u'coordinates': (-79.3921196079, 43.6453175951)}"
7625659,289,BP-05924,1313,Bloor St W,,,St Helens Ave,,,9.0,Bloordale Village,Ring,Temporarily Removed,0,309323.837,4835314.509,-79.443913155,43.657760903,"{u'type': u'Point', u'coordinates': (-79.4439131599, 43.657760908)}"
7625660,323,BP-07928,189,Dundas St E,,,Dundas St E,,,13.0,,Ring,Temporarily Removed,0,314958.036,4835245.973999999,-79.374061383,43.657088383,"{u'type': u'Point', u'coordinates': (-79.3740613855, 43.6570883871)}"
